Entry,Anode/Cathode,Solvent,Electrolyte,Current/Potential
2075,BDD/Pt,TFE: EtOH(1: 1),LiClO4,0.6 mA
2076,BDD/Pt,TFE: EtOH(1: 1),LiOAc,0.3 mA
2077,BDD/Pt,TFE: EtOH(1: 1),LiOAc,0.9 mA
2078,BDD/Pt,TFE: EtOH(1: 1),LiOAc,1.2 mA
2079,BDD/Pt,TFE: EtOH(1: 1),LiOAc,1.0 V
2080,BDD/Pt,TFE: EtOH(1: 1),LiOAc,1.5 V
2081,BDD/Pt,TFE: EtOH(1: 1),LiOAc,0.6 mA
2082,BDD/Pt,TFE: EtOH(1: 1),NaO2CAd,0.3 mA
2083,BDD/Pt,TFE: EtOH(1: 1),NaO2CAd,0.9 mA
2084,BDD/Pt,TFE: EtOH(1: 1),NaO2CAd,1.2 mA
2085,BDD/Pt,TFE: EtOH(1: 1),NaO2CAd,1.0 V
2086,BDD/Pt,TFE: EtOH(1: 1),NaO2CAd,1.5 V
2087,BDD/Pt,TFE: EtOH(1: 1),NaO2CAd,0.6 mA
2088,BDD/Pt,TFE: EtOH(1: 1),NaOAc,0.3 mA
2089,BDD/Pt,TFE: EtOH(1: 1),NaOAc,0.9 mA
2090,BDD/Pt,TFE: EtOH(1: 1),NaOAc,1.2 mA
2091,BDD/Pt,TFE: EtOH(1: 1),NaOAc,1.0 V
2092,BDD/Pt,TFE: EtOH(1: 1),NaOAc,1.5 V
2093,BDD/Pt,TFE: EtOH(1: 1),NaOAc,0.6 mA
2094,BDD/Pt,TFE: EtOH(1: 1),nBu4NOAc,0.3 mA
2095,BDD/Pt,TFE: EtOH(1: 1),nBu4NOAc,0.9 mA
2096,BDD/Pt,TFE: EtOH(1: 1),nBu4NOAc,1.2 mA
2097,BDD/Pt,TFE: EtOH(1: 1),nBu4NOAc,1.0 V
2098,BDD/Pt,TFE: EtOH(1: 1),nBu4NOAc,1.5 V
2099,BDD/Pt,TFE: EtOH(1: 1),nBu4NOAc,0.6 mA
2100,BDD/Pt,TFE: EtOH(1: 1),nBu4NPF6,0.3 mA
2101,BDD/Pt,TFE: EtOH(1: 1),nBu4NPF6,0.9 mA
2102,BDD/Pt,TFE: EtOH(1: 1),nBu4NPF6,1.2 mA
2103,BDD/Pt,TFE: EtOH(1: 1),nBu4NPF6,1.0 V
2104,BDD/Pt,TFE: EtOH(1: 1),nBu4NPF6,1.5 V
2105,BDD/Pt,TFE: EtOH(1: 1),nBu4NPF6,0.6 mA
2106,BDD/Pt,TFE: MeCN(1: 1),NaOPiv,0.3 mA
2107,BDD/Pt,TFE: MeCN(1: 1),NaOPiv,0.9 mA
2108,BDD/Pt,TFE: MeCN(1: 1),NaOPiv,1.2 mA
2109,BDD/Pt,TFE: MeCN(1: 1),NaOPiv,1.0 V
2110,BDD/Pt,TFE: MeCN(1: 1),NaOPiv,1.5 V
2111,BDD/Pt,TFE: MeCN(1: 1),NaOPiv,0.6 mA
2112,BDD/Pt,TFE: MeCN(1: 1),K3PO4,0.3 mA
2113,BDD/Pt,TFE: MeCN(1: 1),K3PO4,0.9 mA
2114,BDD/Pt,TFE: MeCN(1: 1),K3PO4,1.2 mA
2115,BDD/Pt,TFE: MeCN(1: 1),K3PO4,1.0 V
2116,BDD/Pt,TFE: MeCN(1: 1),K3PO4,1.5 V
2117,BDD/Pt,TFE: MeCN(1: 1),K3PO4,0.6 mA
2118,BDD/Pt,TFE: MeCN(1: 1),KOAc,0.3 mA
2119,BDD/Pt,TFE: MeCN(1: 1),KOAc,0.9 mA
2120,BDD/Pt,TFE: MeCN(1: 1),KOAc,1.2 mA
2121,BDD/Pt,TFE: MeCN(1: 1),KOAc,1.0 V
2122,BDD/Pt,TFE: MeCN(1: 1),KOAc,1.5 V
2123,BDD/Pt,TFE: MeCN(1: 1),KOAc,0.6 mA
2124,BDD/Pt,TFE: MeCN(1: 1),LiClO4,0.3 mA
2125,BDD/Pt,TFE: MeCN(1: 1),LiClO4,0.9 mA
2126,BDD/Pt,TFE: MeCN(1: 1),LiClO4,1.2 mA
2127,BDD/Pt,TFE: MeCN(1: 1),LiClO4,1.0 V
2128,BDD/Pt,TFE: MeCN(1: 1),LiClO4,1.5 V
2129,BDD/Pt,TFE: MeCN(1: 1),LiClO4,0.6 mA
2130,BDD/Pt,TFE: MeCN(1: 1),LiOAc,0.3 mA
2131,BDD/Pt,TFE: MeCN(1: 1),LiOAc,0.9 mA
2132,BDD/Pt,TFE: MeCN(1: 1),LiOAc,1.2 mA
2133,BDD/Pt,TFE: MeCN(1: 1),LiOAc,1.0 V
2134,BDD/Pt,TFE: MeCN(1: 1),LiOAc,1.5 V
2135,BDD/Pt,TFE: MeCN(1: 1),LiOAc,0.6 mA
2136,BDD/Pt,TFE: MeCN(1: 1),NaO2CAd,0.3 mA
2137,BDD/Pt,TFE: MeCN(1: 1),NaO2CAd,0.9 mA
2138,BDD/Pt,TFE: MeCN(1: 1),NaO2CAd,1.2 mA
2139,BDD/Pt,TFE: MeCN(1: 1),NaO2CAd,1.0 V
2140,BDD/Pt,TFE: MeCN(1: 1),NaO2CAd,1.5 V
2141,BDD/Pt,TFE: MeCN(1: 1),NaO2CAd,0.6 mA
2142,BDD/Pt,TFE: MeCN(1: 1),NaOAc,0.3 mA
2143,BDD/Pt,TFE: MeCN(1: 1),NaOAc,0.9 mA
2144,BDD/Pt,TFE: MeCN(1: 1),NaOAc,1.2 mA
2145,BDD/Pt,TFE: MeCN(1: 1),NaOAc,1.0 V
2146,BDD/Pt,TFE: MeCN(1: 1),NaOAc,1.5 V
2147,BDD/Pt,TFE: MeCN(1: 1),NaOAc,0.6 mA
2148,BDD/Pt,TFE: MeCN(1: 1),nBu4NOAc,0.3 mA
2149,BDD/Pt,TFE: MeCN(1: 1),nBu4NOAc,0.9 mA
2150,BDD/Pt,TFE: MeCN(1: 1),nBu4NOAc,1.2 mA
2151,BDD/Pt,TFE: MeCN(1: 1),nBu4NOAc,1.0 V
2152,BDD/Pt,TFE: MeCN(1: 1),nBu4NOAc,1.5 V
2153,BDD/Pt,TFE: MeCN(1: 1),nBu4NOAc,0.6 mA
2154,BDD/Pt,TFE: MeCN(1: 1),nBu4NPF6,0.3 mA
2155,BDD/Pt,TFE: MeCN(1: 1),nBu4NPF6,0.9 mA
2156,BDD/Pt,TFE: MeCN(1: 1),nBu4NPF6,1.2 mA
2157,BDD/Pt,TFE: MeCN(1: 1),nBu4NPF6,1.0 V
2158,BDD/Pt,TFE: MeCN(1: 1),nBu4NPF6,1.5 V
2159,BDD/Pt,TFE: MeCN(1: 1),nBu4NPF6,0.6 mA
2160,BDD/Fe,AcOH: TFE(1: 1),NaOPiv,0.3 mA
2161,BDD/Fe,AcOH: TFE(1: 1),NaOPiv,0.9 mA
2162,BDD/Fe,AcOH: TFE(1: 1),NaOPiv,1.2 mA
2163,BDD/Fe,AcOH: TFE(1: 1),NaOPiv,1.0 V
2164,BDD/Fe,AcOH: TFE(1: 1),NaOPiv,1.5 V
2165,BDD/Fe,AcOH: TFE(1: 1),NaOPiv,0.6 mA
2166,BDD/Fe,AcOH: TFE(1: 1),K3PO4,0.3 mA
2167,BDD/Fe,AcOH: TFE(1: 1),K3PO4,0.9 mA
2168,BDD/Fe,AcOH: TFE(1: 1),K3PO4,1.2 mA
2169,BDD/Fe,AcOH: TFE(1: 1),K3PO4,1.0 V
2170,BDD/Fe,AcOH: TFE(1: 1),K3PO4,1.5 V
2171,BDD/Fe,AcOH: TFE(1: 1),K3PO4,0.6 mA
2172,BDD/Fe,AcOH: TFE(1: 1),KOAc,0.3 mA
2173,BDD/Fe,AcOH: TFE(1: 1),KOAc,0.9 mA
2174,BDD/Fe,AcOH: TFE(1: 1),KOAc,1.2 mA
2175,BDD/Fe,AcOH: TFE(1: 1),KOAc,1.0 V
2176,BDD/Fe,AcOH: TFE(1: 1),KOAc,1.5 V
2177,BDD/Fe,AcOH: TFE(1: 1),KOAc,0.6 mA
2178,BDD/Fe,AcOH: TFE(1: 1),LiClO4,0.3 mA
2179,BDD/Fe,AcOH: TFE(1: 1),LiClO4,0.9 mA
2180,BDD/Fe,AcOH: TFE(1: 1),LiClO4,1.2 mA
2181,BDD/Fe,AcOH: TFE(1: 1),LiClO4,1.0 V
2182,BDD/Fe,AcOH: TFE(1: 1),LiClO4,1.5 V
2183,BDD/Fe,AcOH: TFE(1: 1),LiClO4,0.6 mA
2184,BDD/Fe,AcOH: TFE(1: 1),LiOAc,0.3 mA
2185,BDD/Fe,AcOH: TFE(1: 1),LiOAc,0.9 mA
2186,BDD/Fe,AcOH: TFE(1: 1),LiOAc,1.2 mA
2187,BDD/Fe,AcOH: TFE(1: 1),LiOAc,1.0 V
2188,BDD/Fe,AcOH: TFE(1: 1),LiOAc,1.5 V
2189,BDD/Fe,AcOH: TFE(1: 1),LiOAc,0.6 mA
2190,BDD/Fe,AcOH: TFE(1: 1),NaO2CAd,0.3 mA
2191,BDD/Fe,AcOH: TFE(1: 1),NaO2CAd,0.9 mA
2192,BDD/Fe,AcOH: TFE(1: 1),NaO2CAd,1.2 mA
2193,BDD/Fe,AcOH: TFE(1: 1),NaO2CAd,1.0 V
2194,BDD/Fe,AcOH: TFE(1: 1),NaO2CAd,1.5 V
2195,BDD/Fe,AcOH: TFE(1: 1),NaO2CAd,0.6 mA
2196,BDD/Fe,AcOH: TFE(1: 1),NaOAc,0.3 mA
2197,BDD/Fe,AcOH: TFE(1: 1),NaOAc,0.9 mA
2198,BDD/Fe,AcOH: TFE(1: 1),NaOAc,1.2 mA
2199,BDD/Fe,AcOH: TFE(1: 1),NaOAc,1.0 V
2200,BDD/Fe,AcOH: TFE(1: 1),NaOAc,1.5 V
2201,BDD/Fe,AcOH: TFE(1: 1),NaOAc,0.6 mA
2202,BDD/Fe,AcOH: TFE(1: 1),nBu4NOAc,0.3 mA
2203,BDD/Fe,AcOH: TFE(1: 1),nBu4NOAc,0.9 mA
2204,BDD/Fe,AcOH: TFE(1: 1),nBu4NOAc,1.2 mA
2205,BDD/Fe,AcOH: TFE(1: 1),nBu4NOAc,1.0 V
2206,BDD/Fe,AcOH: TFE(1: 1),nBu4NOAc,1.5 V
2207,BDD/Fe,AcOH: TFE(1: 1),nBu4NOAc,0.6 mA
2208,BDD/Fe,AcOH: TFE(1: 1),nBu4NPF6,0.3 mA
2209,BDD/Fe,AcOH: TFE(1: 1),nBu4NPF6,0.9 mA
2210,BDD/Fe,AcOH: TFE(1: 1),nBu4NPF6,1.2 mA
2211,BDD/Fe,AcOH: TFE(1: 1),nBu4NPF6,1.0 V
2212,BDD/Fe,AcOH: TFE(1: 1),nBu4NPF6,1.5 V
2213,BDD/Fe,AcOH: TFE(1: 1),nBu4NPF6,0.6 mA
2214,BDD/Fe,EtOH,NaOPiv,0.3 mA
2215,BDD/Fe,EtOH,NaOPiv,0.9 mA
2216,BDD/Fe,EtOH,NaOPiv,1.2 mA
2217,BDD/Fe,EtOH,NaOPiv,1.0 V
2218,BDD/Fe,EtOH,NaOPiv,1.5 V
2219,BDD/Fe,EtOH,NaOPiv,0.6 mA
2220,BDD/Fe,EtOH,K3PO4,0.3 mA
2221,BDD/Fe,EtOH,K3PO4,0.9 mA
2222,BDD/Fe,EtOH,K3PO4,1.2 mA
2223,BDD/Fe,EtOH,K3PO4,1.0 V
2224,BDD/Fe,EtOH,K3PO4,1.5 V
2225,BDD/Fe,EtOH,K3PO4,0.6 mA
2226,BDD/Fe,EtOH,KOAc,0.3 mA
2227,BDD/Fe,EtOH,KOAc,0.9 mA
2228,BDD/Fe,EtOH,KOAc,1.2 mA
2229,BDD/Fe,EtOH,KOAc,1.0 V
2230,BDD/Fe,EtOH,KOAc,1.5 V
2231,BDD/Fe,EtOH,KOAc,0.6 mA
2232,BDD/Fe,EtOH,LiClO4,0.3 mA
2233,BDD/Fe,EtOH,LiClO4,0.9 mA
2234,BDD/Fe,EtOH,LiClO4,1.2 mA
2235,BDD/Fe,EtOH,LiClO4,1.0 V
2236,BDD/Fe,EtOH,LiClO4,1.5 V
2237,BDD/Fe,EtOH,LiClO4,0.6 mA
2238,BDD/Fe,EtOH,LiOAc,0.3 mA
2239,BDD/Fe,EtOH,LiOAc,0.9 mA
2240,BDD/Fe,EtOH,LiOAc,1.2 mA
2241,BDD/Fe,EtOH,LiOAc,1.0 V
2242,BDD/Fe,EtOH,LiOAc,1.5 V
2243,BDD/Fe,EtOH,LiOAc,0.6 mA
2244,BDD/Fe,EtOH,NaO2CAd,0.3 mA
2245,BDD/Fe,EtOH,NaO2CAd,0.9 mA
2246,BDD/Fe,EtOH,NaO2CAd,1.2 mA
2247,BDD/Fe,EtOH,NaO2CAd,1.0 V
2248,BDD/Fe,EtOH,NaO2CAd,1.5 V
2249,BDD/Fe,EtOH,NaO2CAd,0.6 mA
2250,BDD/Fe,EtOH,NaOAc,0.3 mA
2251,BDD/Fe,EtOH,NaOAc,0.9 mA
2252,BDD/Fe,EtOH,NaOAc,1.2 mA
2253,BDD/Fe,EtOH,NaOAc,1.0 V
2254,BDD/Fe,EtOH,NaOAc,1.5 V
2255,BDD/Fe,EtOH,NaOAc,0.6 mA
2256,BDD/Fe,EtOH,nBu4NOAc,0.3 mA
2257,BDD/Fe,EtOH,nBu4NOAc,0.9 mA
2258,BDD/Fe,EtOH,nBu4NOAc,1.2 mA
2259,BDD/Fe,EtOH,nBu4NOAc,1.0 V
2260,BDD/Fe,EtOH,nBu4NOAc,1.5 V
2261,BDD/Fe,EtOH,nBu4NOAc,0.6 mA
2262,BDD/Fe,EtOH,nBu4NPF6,0.3 mA
2263,BDD/Fe,EtOH,nBu4NPF6,0.9 mA
2264,BDD/Fe,EtOH,nBu4NPF6,1.2 mA
2265,BDD/Fe,EtOH,nBu4NPF6,1.0 V
2266,BDD/Fe,EtOH,nBu4NPF6,1.5 V
2267,BDD/Fe,EtOH,nBu4NPF6,0.6 mA
2268,BDD/Fe,EtOH: MeCN(1: 1),NaOPiv,0.3 mA
2269,BDD/Fe,EtOH: MeCN(1: 1),NaOPiv,0.9 mA
2270,BDD/Fe,EtOH: MeCN(1: 1),NaOPiv,1.2 mA
2271,BDD/Fe,EtOH: MeCN(1: 1),NaOPiv,1.0 V
2272,BDD/Fe,EtOH: MeCN(1: 1),NaOPiv,1.5 V
2273,BDD/Fe,EtOH: MeCN(1: 1),NaOPiv,0.6 mA
2274,BDD/Fe,EtOH: MeCN(1: 1),K3PO4,0.3 mA
2275,BDD/Fe,EtOH: MeCN(1: 1),K3PO4,0.9 mA
2276,BDD/Fe,EtOH: MeCN(1: 1),K3PO4,1.2 mA
2277,BDD/Fe,EtOH: MeCN(1: 1),K3PO4,1.0 V
2278,BDD/Fe,EtOH: MeCN(1: 1),K3PO4,1.5 V
2279,BDD/Fe,EtOH: MeCN(1: 1),K3PO4,0.6 mA
2280,BDD/Fe,EtOH: MeCN(1: 1),KOAc,0.3 mA
2281,BDD/Fe,EtOH: MeCN(1: 1),KOAc,0.9 mA
2282,BDD/Fe,EtOH: MeCN(1: 1),KOAc,1.2 mA
2283,BDD/Fe,EtOH: MeCN(1: 1),KOAc,1.0 V
2284,BDD/Fe,EtOH: MeCN(1: 1),KOAc,1.5 V
2285,BDD/Fe,EtOH: MeCN(1: 1),KOAc,0.6 mA
2286,BDD/Fe,EtOH: MeCN(1: 1),LiClO4,0.3 mA
2287,BDD/Fe,EtOH: MeCN(1: 1),LiClO4,0.9 mA
2288,BDD/Fe,EtOH: MeCN(1: 1),LiClO4,1.2 mA
2289,BDD/Fe,EtOH: MeCN(1: 1),LiClO4,1.0 V
2290,BDD/Fe,EtOH: MeCN(1: 1),LiClO4,1.5 V
2291,BDD/Fe,EtOH: MeCN(1: 1),LiClO4,0.6 mA
2292,BDD/Fe,EtOH: MeCN(1: 1),LiOAc,0.3 mA
2293,BDD/Fe,EtOH: MeCN(1: 1),LiOAc,0.9 mA
2294,BDD/Fe,EtOH: MeCN(1: 1),LiOAc,1.2 mA
2295,BDD/Fe,EtOH: MeCN(1: 1),LiOAc,1.0 V
2296,BDD/Fe,EtOH: MeCN(1: 1),LiOAc,1.5 V
2297,BDD/Fe,EtOH: MeCN(1: 1),LiOAc,0.6 mA
2298,BDD/Fe,EtOH: MeCN(1: 1),NaO2CAd,0.3 mA
2299,BDD/Fe,EtOH: MeCN(1: 1),NaO2CAd,0.9 mA
2300,BDD/Fe,EtOH: MeCN(1: 1),NaO2CAd,1.2 mA
2301,BDD/Fe,EtOH: MeCN(1: 1),NaO2CAd,1.0 V
2302,BDD/Fe,EtOH: MeCN(1: 1),NaO2CAd,1.5 V
2303,BDD/Fe,EtOH: MeCN(1: 1),NaO2CAd,0.6 mA
2304,BDD/Fe,EtOH: MeCN(1: 1),NaOAc,0.3 mA
2305,BDD/Fe,EtOH: MeCN(1: 1),NaOAc,0.9 mA
2306,BDD/Fe,EtOH: MeCN(1: 1),NaOAc,1.2 mA
2307,BDD/Fe,EtOH: MeCN(1: 1),NaOAc,1.0 V
2308,BDD/Fe,EtOH: MeCN(1: 1),NaOAc,1.5 V
2309,BDD/Fe,EtOH: MeCN(1: 1),NaOAc,0.6 mA
2310,BDD/Fe,EtOH: MeCN(1: 1),nBu4NOAc,0.3 mA
2311,BDD/Fe,EtOH: MeCN(1: 1),nBu4NOAc,0.9 mA
2312,BDD/Fe,EtOH: MeCN(1: 1),nBu4NOAc,1.2 mA
2313,BDD/Fe,EtOH: MeCN(1: 1),nBu4NOAc,1.0 V
2314,BDD/Fe,EtOH: MeCN(1: 1),nBu4NOAc,1.5 V
2315,BDD/Fe,EtOH: MeCN(1: 1),nBu4NOAc,0.6 mA
2316,BDD/Fe,EtOH: MeCN(1: 1),nBu4NPF6,0.3 mA
2317,BDD/Fe,EtOH: MeCN(1: 1),nBu4NPF6,0.9 mA
2318,BDD/Fe,EtOH: MeCN(1: 1),nBu4NPF6,1.2 mA
2319,BDD/Fe,EtOH: MeCN(1: 1),nBu4NPF6,1.0 V
2320,BDD/Fe,EtOH: MeCN(1: 1),nBu4NPF6,1.5 V
2321,BDD/Fe,EtOH: MeCN(1: 1),nBu4NPF6,0.6 mA
2322,BDD/Fe,AcOH,NaOPiv,0.3 mA
2323,BDD/Fe,AcOH,NaOPiv,0.9 mA
2324,BDD/Fe,AcOH,NaOPiv,1.2 mA
2325,BDD/Fe,AcOH,NaOPiv,1.0 V
2326,BDD/Fe,AcOH,NaOPiv,1.5 V
2327,BDD/Fe,AcOH,NaOPiv,0.6 mA
2328,BDD/Fe,AcOH,K3PO4,0.3 mA
2329,BDD/Fe,AcOH,K3PO4,0.9 mA
2330,BDD/Fe,AcOH,K3PO4,1.2 mA
2331,BDD/Fe,AcOH,K3PO4,1.0 V
2332,BDD/Fe,AcOH,K3PO4,1.5 V
2333,BDD/Fe,AcOH,K3PO4,0.6 mA
2334,BDD/Fe,AcOH,KOAc,0.3 mA
2335,BDD/Fe,AcOH,KOAc,0.9 mA
2336,BDD/Fe,AcOH,KOAc,1.2 mA
2337,BDD/Fe,AcOH,KOAc,1.0 V
2338,BDD/Fe,AcOH,KOAc,1.5 V
2339,BDD/Fe,AcOH,KOAc,0.6 mA
2340,BDD/Fe,AcOH,LiClO4,0.3 mA
2341,BDD/Fe,AcOH,LiClO4,0.9 mA
2342,BDD/Fe,AcOH,LiClO4,1.2 mA
2343,BDD/Fe,AcOH,LiClO4,1.0 V
2344,BDD/Fe,AcOH,LiClO4,1.5 V
2345,BDD/Fe,AcOH,LiClO4,0.6 mA
2346,BDD/Fe,AcOH,LiOAc,0.3 mA
2347,BDD/Fe,AcOH,LiOAc,0.9 mA
2348,BDD/Fe,AcOH,LiOAc,1.2 mA
2349,BDD/Fe,AcOH,LiOAc,1.0 V
2350,BDD/Fe,AcOH,LiOAc,1.5 V
2351,BDD/Fe,AcOH,LiOAc,0.6 mA
2352,BDD/Fe,AcOH,NaO2CAd,0.3 mA
2353,BDD/Fe,AcOH,NaO2CAd,0.9 mA
2354,BDD/Fe,AcOH,NaO2CAd,1.2 mA
2355,BDD/Fe,AcOH,NaO2CAd,1.0 V
2356,BDD/Fe,AcOH,NaO2CAd,1.5 V
2357,BDD/Fe,AcOH,NaO2CAd,0.6 mA
2358,BDD/Fe,AcOH,NaOAc,0.3 mA
2359,BDD/Fe,AcOH,NaOAc,0.9 mA
2360,BDD/Fe,AcOH,NaOAc,1.2 mA
2361,BDD/Fe,AcOH,NaOAc,1.0 V
2362,BDD/Fe,AcOH,NaOAc,1.5 V
2363,BDD/Fe,AcOH,NaOAc,0.6 mA
2364,BDD/Fe,AcOH,nBu4NOAc,0.3 mA
2365,BDD/Fe,AcOH,nBu4NOAc,0.9 mA
2366,BDD/Fe,AcOH,nBu4NOAc,1.2 mA
2367,BDD/Fe,AcOH,nBu4NOAc,1.0 V
2368,BDD/Fe,AcOH,nBu4NOAc,1.5 V
2369,BDD/Fe,AcOH,nBu4NOAc,0.6 mA
2370,BDD/Fe,AcOH,nBu4NPF6,0.3 mA
2371,BDD/Fe,AcOH,nBu4NPF6,0.9 mA
2372,BDD/Fe,AcOH,nBu4NPF6,1.2 mA
2373,BDD/Fe,AcOH,nBu4NPF6,1.0 V
2374,BDD/Fe,AcOH,nBu4NPF6,1.5 V
2375,BDD/Fe,AcOH,nBu4NPF6,0.6 mA
2376,BDD/Fe,AcOH: EtOH(1: 1),NaOPiv,0.3 mA
2377,BDD/Fe,AcOH: EtOH(1: 1),NaOPiv,0.9 mA
2378,BDD/Fe,AcOH: EtOH(1: 1),NaOPiv,1.2 mA
2379,BDD/Fe,AcOH: EtOH(1: 1),NaOPiv,1.0 V
2380,BDD/Fe,AcOH: EtOH(1: 1),NaOPiv,1.5 V
2381,BDD/Fe,AcOH: EtOH(1: 1),NaOPiv,0.6 mA
2382,BDD/Fe,AcOH: EtOH(1: 1),K3PO4,0.3 mA
2383,BDD/Fe,AcOH: EtOH(1: 1),K3PO4,0.9 mA
2384,BDD/Fe,AcOH: EtOH(1: 1),K3PO4,1.2 mA
2385,BDD/Fe,AcOH: EtOH(1: 1),K3PO4,1.0 V
2386,BDD/Fe,AcOH: EtOH(1: 1),K3PO4,1.5 V
2387,BDD/Fe,AcOH: EtOH(1: 1),K3PO4,0.6 mA
2388,BDD/Fe,AcOH: EtOH(1: 1),KOAc,0.3 mA
2389,BDD/Fe,AcOH: EtOH(1: 1),KOAc,0.9 mA
2390,BDD/Fe,AcOH: EtOH(1: 1),KOAc,1.2 mA
2391,BDD/Fe,AcOH: EtOH(1: 1),KOAc,1.0 V
2392,BDD/Fe,AcOH: EtOH(1: 1),KOAc,1.5 V
2393,BDD/Fe,AcOH: EtOH(1: 1),KOAc,0.6 mA
2394,BDD/Fe,AcOH: EtOH(1: 1),LiClO4,0.3 mA
2395,BDD/Fe,AcOH: EtOH(1: 1),LiClO4,0.9 mA
2396,BDD/Fe,AcOH: EtOH(1: 1),LiClO4,1.2 mA
2397,BDD/Fe,AcOH: EtOH(1: 1),LiClO4,1.0 V
2398,BDD/Fe,AcOH: EtOH(1: 1),LiClO4,1.5 V
2399,BDD/Fe,AcOH: EtOH(1: 1),LiClO4,0.6 mA
2400,BDD/Fe,AcOH: EtOH(1: 1),LiOAc,0.3 mA
2401,BDD/Fe,AcOH: EtOH(1: 1),LiOAc,0.9 mA
2402,BDD/Fe,AcOH: EtOH(1: 1),LiOAc,1.2 mA
2403,BDD/Fe,AcOH: EtOH(1: 1),LiOAc,1.0 V
2404,BDD/Fe,AcOH: EtOH(1: 1),LiOAc,1.5 V
2405,BDD/Fe,AcOH: EtOH(1: 1),LiOAc,0.6 mA
2406,BDD/Fe,AcOH: EtOH(1: 1),NaO2CAd,0.3 mA
2407,BDD/Fe,AcOH: EtOH(1: 1),NaO2CAd,0.9 mA
2408,BDD/Fe,AcOH: EtOH(1: 1),NaO2CAd,1.2 mA
2409,BDD/Fe,AcOH: EtOH(1: 1),NaO2CAd,1.0 V
2410,BDD/Fe,AcOH: EtOH(1: 1),NaO2CAd,1.5 V
2411,BDD/Fe,AcOH: EtOH(1: 1),NaO2CAd,0.6 mA
2412,BDD/Fe,AcOH: EtOH(1: 1),NaOAc,0.3 mA
2413,BDD/Fe,AcOH: EtOH(1: 1),NaOAc,0.9 mA
2414,BDD/Fe,AcOH: EtOH(1: 1),NaOAc,1.2 mA
2415,BDD/Fe,AcOH: EtOH(1: 1),NaOAc,1.0 V
2416,BDD/Fe,AcOH: EtOH(1: 1),NaOAc,1.5 V
2417,BDD/Fe,AcOH: EtOH(1: 1),NaOAc,0.6 mA
2418,BDD/Fe,AcOH: EtOH(1: 1),nBu4NOAc,0.3 mA
2419,BDD/Fe,AcOH: EtOH(1: 1),nBu4NOAc,0.9 mA
2420,BDD/Fe,AcOH: EtOH(1: 1),nBu4NOAc,1.2 mA
2421,BDD/Fe,AcOH: EtOH(1: 1),nBu4NOAc,1.0 V
2422,BDD/Fe,AcOH: EtOH(1: 1),nBu4NOAc,1.5 V
2423,BDD/Fe,AcOH: EtOH(1: 1),nBu4NOAc,0.6 mA
2424,BDD/Fe,AcOH: EtOH(1: 1),nBu4NPF6,0.3 mA
2425,BDD/Fe,AcOH: EtOH(1: 1),nBu4NPF6,0.9 mA
2426,BDD/Fe,AcOH: EtOH(1: 1),nBu4NPF6,1.2 mA
2427,BDD/Fe,AcOH: EtOH(1: 1),nBu4NPF6,1.0 V
2428,BDD/Fe,AcOH: EtOH(1: 1),nBu4NPF6,1.5 V
2429,BDD/Fe,AcOH: EtOH(1: 1),nBu4NPF6,0.6 mA
2430,BDD/Fe,AcOH: MeCN(1: 1),NaOPiv,0.3 mA
2431,BDD/Fe,AcOH: MeCN(1: 1),NaOPiv,0.9 mA
2432,BDD/Fe,AcOH: MeCN(1: 1),NaOPiv,1.2 mA
2433,BDD/Fe,AcOH: MeCN(1: 1),NaOPiv,1.0 V
2434,BDD/Fe,AcOH: MeCN(1: 1),NaOPiv,1.5 V
2435,BDD/Fe,AcOH: MeCN(1: 1),NaOPiv,0.6 mA
2436,BDD/Fe,AcOH: MeCN(1: 1),K3PO4,0.3 mA
2437,BDD/Fe,AcOH: MeCN(1: 1),K3PO4,0.9 mA
2438,BDD/Fe,AcOH: MeCN(1: 1),K3PO4,1.2 mA
2439,BDD/Fe,AcOH: MeCN(1: 1),K3PO4,1.0 V
2440,BDD/Fe,AcOH: MeCN(1: 1),K3PO4,1.5 V
2441,BDD/Fe,AcOH: MeCN(1: 1),K3PO4,0.6 mA
2442,BDD/Fe,AcOH: MeCN(1: 1),KOAc,0.3 mA
2443,BDD/Fe,AcOH: MeCN(1: 1),KOAc,0.9 mA
2444,BDD/Fe,AcOH: MeCN(1: 1),KOAc,1.2 mA
2445,BDD/Fe,AcOH: MeCN(1: 1),KOAc,1.0 V
2446,BDD/Fe,AcOH: MeCN(1: 1),KOAc,1.5 V
2447,BDD/Fe,AcOH: MeCN(1: 1),KOAc,0.6 mA
2448,BDD/Fe,AcOH: MeCN(1: 1),LiClO4,0.3 mA
2449,BDD/Fe,AcOH: MeCN(1: 1),LiClO4,0.9 mA
2450,BDD/Fe,AcOH: MeCN(1: 1),LiClO4,1.2 mA
2451,BDD/Fe,AcOH: MeCN(1: 1),LiClO4,1.0 V
2452,BDD/Fe,AcOH: MeCN(1: 1),LiClO4,1.5 V
2453,BDD/Fe,AcOH: MeCN(1: 1),LiClO4,0.6 mA
2454,BDD/Fe,AcOH: MeCN(1: 1),LiOAc,0.3 mA
2455,BDD/Fe,AcOH: MeCN(1: 1),LiOAc,0.9 mA
2456,BDD/Fe,AcOH: MeCN(1: 1),LiOAc,1.2 mA
2457,BDD/Fe,AcOH: MeCN(1: 1),LiOAc,1.0 V
2458,BDD/Fe,AcOH: MeCN(1: 1),LiOAc,1.5 V
